"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"3/11/2011","Died","Lindsey","No","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4118_ANHU"
"11/5/2000","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found inside","Non-selasphorus spp.","1923_ANHU"
"9/4/2012","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","4562_ANHU"
"6/22/1999","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","1667_BCHU"
"4/24/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","suspect torpor-like state","Non-selasphorus spp.","2460_ANHU"
"6/25/2011","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","found on the ground","Non-selasphorus spp.","4259_ANHU"
"10/24/2000","Died","Lindsey","Yes","ANHU","Female-like ",NA,1,"Fall","caught by domestic animal","Non-selasphorus spp.","1918_ANHU"
"3/11/2001","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","1979_ANHU"
"1/27/2006","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Winter","window hit","Non-selasphorus spp.","2993_ANHU"
"10/9/2016","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","found on the ground","Non-selasphorus spp.","5719_ANHU"
"6/1/1993","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","unknown","Non-selasphorus spp.","486_ANHU"
"3/10/2016","Released","Santa Barbara","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","6850_ANHU"
"5/8/2012","Released","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4463_ANHU"
"3/14/2016","Died","malibu","Yes","Selasphorus","unknown",NA,0,"Spring","nest-related","Selasphorus spp.","6638_ALHU"
"11/25/2006","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","3172_ANHU"
"3/23/1996","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","989_ANHU"
"2/19/2016","Died","Santa Barbara","No","ANHU","Male",NA,0,"Winter","found inside","Non-selasphorus spp.","6845_ANHU"
"6/17/2014","Died","malibu","No","Selasphorus","Female-like ",NA,1,"Summer","unknown","Selasphorus spp.","6307_ALHU"
"9/11/2012","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","found on the ground","Non-selasphorus spp.","4566_ANHU"
"4/18/2006","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","window hit","Non-selasphorus spp.","3064_ANHU"
"8/6/2010","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","4045_ANHU"
"4/25/1996","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","window hit","Non-selasphorus spp.","1035_ANHU"
"3/11/2014","Released","Lindsey","No","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4895_ANHU"
"8/12/2011","Died","Lindsey","Yes","Selasphorus","Male",NA,1,"Summer","window hit","Selasphorus spp.","4294_ALHU"
"4/26/2016","Released","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","nest-related","Non-selasphorus spp.","5591_ANHU"
"1/16/2016","Released","malibu","No","ANHU","Female-like ",NA,0,"Winter","found on the ground","Non-selasphorus spp.","6649_ANHU"
"1/20/2006","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Winter","found on the ground","Non-selasphorus spp.","2990_ANHU"
"7/12/2014","Died","malibu","Yes","BCHU","Female-like ",NA,2,"Summer","found on the ground","Non-selasphorus spp.","6163_BCHU"
"10/18/1998","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Fall","found on the ground","Non-selasphorus spp.","1510_ANHU"
"6/26/2008","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","3538_ANHU"
"4/16/2009","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","found on the ground","Non-selasphorus spp.","3692_ANHU"
"6/3/2015","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","caught by domestic animal","Non-selasphorus spp.","5355_ANHU"
"3/1/1991","Died","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","21_ANHU"
"5/6/1994","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","634_ANHU"
"4/28/2014","Released","malibu","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","6279_ANHU"
"4/5/2015","Died","malibu","Yes","Selasphorus","Female-like ",NA,1,"Spring","unknown","Selasphorus spp.","6381_ALHU"
"5/19/1998","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","1418_ANHU"
"4/6/2013","Died","Lindsey","Yes","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","4675_ANHU"
"6/7/2014","Released","malibu","No","Selasphorus","unknown",NA,0,"Summer","unknown","Selasphorus spp.","6132_ALHU"
